Дата и время,Причина
2022-07-01 01:13:00+00:00,Потный момент в игре
2022-07-01 13:22:00+00:00,Перед едой
2022-07-01 15:14:00+00:00,Потный момент в игре
2022-07-01 17:42:00+00:00,После еды
2022-07-01 18:56:00+00:00,Сдержался
2022-07-01 19:53:00+00:00,Радость
2022-07-01 20:29:00+00:00,Потный момент в игре
2022-07-02 02:09:00+00:00,Проснулся
2022-07-02 14:06:00+00:00,Позвали за компанию
2022-07-02 14:38:00+00:00,Ссора
2022-07-02 16:19:00+00:00,Потный момент в игре
2022-07-02 17:49:00+00:00,Посмотрел серию/фильм
2022-07-02 18:33:00+00:00,Подрочил
2022-07-02 22:09:00+00:00,Сдержался
2022-07-03 01:26:00+00:00,Перед едой
2022-07-03 11:11:00+00:00,Позвали за компанию
2022-07-03 12:44:00+00:00,После транспорта
2022-07-03 12:56:00+00:00,Подрочил
2022-07-03 14:14:00+00:00,Вышел на улицу
2022-07-03 16:42:00+00:00,Перед едой
2022-07-03 17:04:00+00:00,Проснулся
2022-07-03 17:37:00+00:00,Посмотрел серию/фильм
2022-07-03 20:03:00+00:00,Перед едой
2022-07-03 21:16:00+00:00,Проснулся
2022-07-03 22:32:00+00:00,Вышел на улицу
2022-07-03 23:31:00+00:00,После еды
2022-07-04 01:08:00+00:00,Подрочил
2022-07-04 01:26:00+00:00,Проснулся
2022-07-04 02:25:00+00:00,Проснулся
2022-07-04 13:53:00+00:00,Радость
2022-07-04 16:07:00+00:00,Сдержался
2022-07-04 16:08:00+00:00,Позвали за компанию
2022-07-04 17:17:00+00:00,Вышел на улицу
2022-07-04 17:43:00+00:00,Ссора
2022-07-04 17:53:00+00:00,Радость
2022-07-04 19:46:00+00:00,Проснулся
2022-07-04 21:15:00+00:00,Перед транспортом
2022-07-05 01:11:00+00:00,После еды
2022-07-05 02:34:00+00:00,Проснулся
2022-07-05 11:13:00+00:00,Перед едой
2022-07-05 15:00:00+00:00,Проснулся
2022-07-05 15:14:00+00:00,Перед едой
2022-07-05 16:22:00+00:00,После транспорта
2022-07-05 16:24:00+00:00,Посмотрел серию/фильм
2022-07-05 17:05:00+00:00,Ссора
2022-07-05 17:36:00+00:00,Вышел на улицу
2022-07-05 18:05:00+00:00,Перед транспортом
2022-07-05 19:09:00+00:00,Посмотрел серию/фильм
2022-07-05 20:00:00+00:00,Перед едой
2022-07-05 23:57:00+00:00,Перед транспортом
2022-07-06 00:55:00+00:00,Ссора
2022-07-06 02:12:00+00:00,Перед едой
2022-07-06 02:33:00+00:00,Позвали за компанию
2022-07-06 02:37:00+00:00,Проснулся
2022-07-06 11:43:00+00:00,Ссора
2022-07-06 12:34:00+00:00,Ссора
2022-07-06 12:44:00+00:00,Позвали за компанию
2022-07-06 14:55:00+00:00,Подрочил
2022-07-06 15:39:00+00:00,Подрочил
2022-07-06 15:46:00+00:00,Вышел на улицу
2022-07-06 17:42:00+00:00,Радость
2022-07-06 17:56:00+00:00,Позвали за компанию
2022-07-06 17:59:00+00:00,Радость
2022-07-06 18:25:00+00:00,После еды
2022-07-06 22:04:00+00:00,Перед транспортом
2022-07-07 00:05:00+00:00,Проснулся
2022-07-07 02:14:00+00:00,Радость
2022-07-07 12:08:00+00:00,Перед едой
2022-07-07 16:04:00+00:00,Перед транспортом
2022-07-07 16:17:00+00:00,Вышел на улицу
2022-07-07 17:45:00+00:00,После транспорта
2022-07-07 21:38:00+00:00,Перед едой
2022-07-07 21:46:00+00:00,После еды
2022-07-07 22:41:00+00:00,Позвали за компанию
2022-07-07 22:49:00+00:00,После транспорта
2022-07-07 23:51:00+00:00,Проснулся
2022-07-08 02:09:00+00:00,Позвали за компанию
2022-07-08 02:49:00+00:00,Перед транспортом
2022-07-08 02:50:00+00:00,Сдержался
2022-07-08 11:37:00+00:00,Перед транспортом
2022-07-08 11:41:00+00:00,Радость
2022-07-08 12:31:00+00:00,После транспорта
2022-07-08 18:48:00+00:00,Проснулся
2022-07-08 18:58:00+00:00,Радость
2022-07-08 20:12:00+00:00,Подрочил
2022-07-08 21:31:00+00:00,Потный момент в игре
2022-07-08 21:56:00+00:00,Радость
2022-07-09 12:17:00+00:00,Сдержался
2022-07-09 15:41:00+00:00,Позвали за компанию
2022-07-09 16:27:00+00:00,Перед транспортом
2022-07-09 18:39:00+00:00,Сдержался
2022-07-09 21:30:00+00:00,Перед едой
2022-07-09 22:01:00+00:00,Проснулся
2022-07-09 22:37:00+00:00,Проснулся
