"sep=,"
Дата и время,Причина
2022-08-07 22:26:50,Вышел на улицу
2022-08-07 22:33:32,Вышел на улицу
2022-08-07 22:33:59,Вышел на улицу
2022-08-07 22:36:50,Вышел на улицу
2022-08-07 22:37:12,Вышел на улицу
2022-08-07 22:38:04,Вышел на улицу
2022-08-07 22:39:38,Перед транспортом
2022-08-07 22:44:10,После транспорта
2022-08-07 22:48:33,Сдержался
2022-08-10 19:43:02,Сдержался
2022-08-10 20:01:50,Вышел на улицу
2022-08-10 21:45:17,Перед едой
2022-08-11 20:13:04,Вышел на улицу
2022-08-11 20:24:58,Сдержался
2022-08-11 21:12:26,Перед транспортом
2022-08-11 21:13:31,После транспорта
2022-08-11 21:13:38,Вышел на улицу
2022-08-11 21:14:22,Сдержался
2022-08-11 21:14:26,Сдержался
2022-08-11 21:14:35,Подрочил
2022-08-11 21:14:48,Потный момент в игре
2022-08-11 21:14:59,Перед транспортом
2022-08-11 21:36:26,Перед едой
2022-08-11 21:36:38,Вышел на улицу
2022-08-11 21:36:46,Ссора
2022-08-11 21:36:49,Сдержался
2022-08-11 21:36:54,Сдержался
2022-08-11 21:46:05,После еды
